ID,URL,HEADLINE,AUTHOR,DATE
1,https://www.theverge.com/2023/3/28/23659492/fortnite-creator-economy-2-0-epic-games-catch,Fortnite’s generous new creator economy has an Epic catch,Jay Peters,28-03-23
2,https://www.theverge.com/2023/3/28/23658178/amazon-echo-meta-quest-2-yeedi-vac-2-pro-zendure-supertank-pro-deal-sale,Amazon’s fourth-gen Echo is the cheapest it’s been since the holidays,Sheena Vasani,28-03-23
3,https://www.theverge.com/2023/3/28/23659191/amazon-sidewalk-network-coverage,Amazon just opened up its Sidewalk network for anyone to build connected gadgets on,Jennifer Pattison Tuohy,28-03-23
4,https://www.theverge.com/2023/3/28/23655421/lenovo-slim-pro-9i-7-7i-announcement,Lenovo targets the MacBook with updated Slim Pro laptop line,Monica Chin,28-03-23
5,https://www.theverge.com/23652036/dji-avata-goggles-integra-rc-motion-2-pro-view-explorer-combo-price-date,DJI’s feels-like-flying Avata drone gets comfier and cheaper with Integra goggles,Sean Hollister,28-03-23
6,https://www.theverge.com/2023/3/28/23659727/hp-omen-gaming-monitor-2023-price-release-27k-hdr-ultrawide,HP’s new Omen gaming monitors leave you spoiled for choice,Jess Weatherbed,28-03-23
7,https://www.theverge.com/2023/3/28/23659411/google-chromebook-chromeos-practice-sets-docs-cast-moderator-changes-features,"Chromebooks are popular with students — but Google wants teachers using them, too",Monica Chin,28-03-23
8,https://www.theverge.com/2023/3/28/23653683/hp-victus-16-rtx-4070-intel-amd-gaming-laptop,HP’s new Victus gaming laptop might be the cheapest way to get an RTX 4070,Monica Chin,28-03-23
