ID,URL,HEADLINE,AUTHOR,DATE
1,https://www.theverge.com/2023/3/29/23662621/google-bard-chatgpt-sharegpt-training-denies,Google denies Bard was trained with ChatGPT data,Sean Hollister,2023-03-29
2,https://www.theverge.com/2023/3/29/23662548/netflix-iphone-controller-games-code-test,Netflix might let you use an iPhone to control games on your TV,Jay Peters,2023-03-29
3,https://www.theverge.com/2023/3/29/23662476/microsoft-bing-chatbot-ads-revenue-sharing,Microsoft’s Bing chatbot is getting ads,Jay Peters,2023-03-29
4,https://www.theverge.com/2023/3/29/23662293/fortnite-battle-royale-player-count-discover,Fortnite now shows how many people are playing Battle Royale — and every other island,Jay Peters,2023-03-29
5,https://www.theverge.com/2023/3/29/23662326/google-fi-iphone-5g-available-ios-16-4,iPhone users on Google Fi can finally use 5G,Mitchell Clark,2023-03-29
6,https://www.theverge.com/2023/3/29/23662367/tiktok-ban-rand-paul-josh-hawley-bytedance-bowman-restrict-act,Sen. Rand Paul becomes latest lawmaker opposing TikTok ban,Makena Kelly,2023-03-29
7,https://www.theverge.com/2023/3/29/23662175/instagram-collaborative-collections-shared-with-friends,Instagram now lets you save posts into collections shared with friends,Emma Roth,2023-03-29
8,https://www.theverge.com/2023/3/29/23662082/microsoft-surface-hub-2s-update-windows-teams-rooms,Microsoft’s Surface Hub 2S is finally getting an upgrade,Jess Weatherbed,2023-03-29
9,https://www.theverge.com/2023/3/29/23662228/ea-layoffs-workers-employeesrestructuring,EA is laying off 6 percent of its workers,Emma Roth,2023-03-29
10,https://www.theverge.com/2023/3/30/23656153/elon-musk-twitter-most-followed-barack-obama,Elon Musk is now the most-followed person on Twitter,Emma Roth,2023-03-30
11,https://www.theverge.com/2023/3/30/23660187/marshall-zound-merger-acquisition-bluetooth-headphones-speakers-amps,"Marshall, the iconic amp manufacturer, is being acquired by Marshall speaker maker Zound",Jon Porter,2023-03-30
12,https://www.theverge.com/2023/3/30/23662832/twitter-api-tiers-free-bot-novelty-accounts-basic-enterprice-monthly-price,"Twitter announces new API pricing, posing a challenge for small developers",Jon Porter,2023-03-30
13,https://www.theverge.com/2023/3/30/23662873/roku-layoffs-2023-200-employees,Roku is laying off another 6 percent of its workforce,Jon Porter,2023-03-30
14,https://www.theverge.com/2023/3/30/23662101/ftc-openai-investigation-request-caidp-gpt-text-generation-bias,"FTC should stop OpenAI from launching new GPT models, says AI policy group",Adi Robertson,2023-03-30
15,https://www.theverge.com/2023/3/30/23662130/arc-mobile-browser-hands-on-ios,Arc’s mobile browser is here — and it’s not really a web browser at all,David Pierce,2023-03-30
16,https://www.theverge.com/2023/3/30/23661426/microsoft-azure-bing-office365-security-exploit-search-results,Huge Microsoft exploit allowed users to manipulate Bing search results and access Outlook email accounts,Jess Weatherbed,2023-03-30
17,https://www.theverge.com/2023/3/30/23662961/the-last-of-us-pc-patch-performance-fixes,The Last of Us on PC gets a first patch to fix some performance issues,Tom Warren,2023-03-30
